unique_id,gvkey,fyear,filename,length,Similarity
109009,163933,2007,0001193125-08-052891.txt,,
109008,163933,2008,0001193125-09-035080.txt,,
109007,163933,2009,0001193125-10-051385.txt,,
109006,163933,2010,0001193125-11-052314.txt,,
109005,163933,2011,0001193125-12-099052.txt,,
117114,163965,2009,0001144204-10-019399.txt,,
117113,163965,2010,0001144204-11-018583.txt,,
117112,163965,2011,0001144204-12-018905.txt,,
117111,163965,2012,0001144204-13-019816.txt,,
117110,163965,2014,0001144204-15-020124.txt,3532.0, 
117109,163965,2015,0001144204-16-086916.txt,3631.0,0.0
117373,163975,2005,0001193125-06-139492.txt,,
117372,163975,2006,0001193125-07-147412.txt,,
117371,163975,2007,0001144204-08-034076.txt,,
117370,163975,2008,0001144204-09-032598.txt,,
117369,163975,2009,0001437749-10-002208.txt,,
117367,163975,2010,0001437749-11-006132.txt,,
118085,163987,2005,0001193125-06-070192.txt,,
118084,163987,2006,0001193125-07-057195.txt,,
118083,163987,2007,0001193125-08-043903.txt,,
118082,163987,2008,0001193125-09-047628.txt,,
118081,163987,2009,0001193125-10-048141.txt,,
118080,163987,2010,0001193125-11-062546.txt,,
118079,163987,2011,0001193125-12-099968.txt,,
118078,163987,2012,0001205727-13-000004.txt,,
103618,164099,2008,0001193125-09-182999.txt,,
103617,164099,2009,0001193125-10-184153.txt,,
103616,164099,2010,0001193125-11-234223.txt,,
103615,164099,2011,0001193125-12-047943.txt,,
103614,164099,2012,0001193125-13-051966.txt,,
103613,164099,2013,0001193125-14-048240.txt,,
103612,164099,2014,0001193125-15-041538.txt,,
103611,164099,2015,0001193125-16-490221.txt,,
84850,164266,2008,0001193125-09-055441.txt,,
84849,164266,2009,0001193125-10-057020.txt,,
84848,164266,2010,0001193125-11-068705.txt,,
84847,164266,2011,0001193125-12-089364.txt,,
84846,164266,2012,0001193125-13-084368.txt,,
84845,164266,2013,0001193125-14-073124.txt,,
84844,164266,2014,0001193125-15-062576.txt,,
84843,164266,2015,0001564590-16-013460.txt,,
118043,164270,2007,0000950134-08-004725.txt,,
118042,164270,2008,0001203957-09-000006.txt,,
118041,164270,2009,0001193125-10-057337.txt,,
118040,164270,2010,0001144204-11-014988.txt,,
118039,164270,2011,0001144204-12-018880.txt,,
96783,164293,2005,0000950123-06-003863.txt,,
96782,164293,2006,0000950123-07-003922.txt,,
96781,164293,2007,0000950123-08-002847.txt,,
96780,164293,2008,0000950123-09-003799.txt,,
96779,164293,2009,0000950123-10-020941.txt,,
96778,164293,2010,0000950123-11-021697.txt,,
96784,164293,2011,0001193125-12-106195.txt,1228.0, 
96777,164293,2012,0001193125-13-091842.txt,352.0,0.3345032353849473
96776,164293,2014,0001615774-15-000575.txt,,
96775,164293,2015,0001051514-16-000048.txt,1092.0, 
120073,164342,2008,0001144204-09-037148.txt,,
120072,164342,2009,0001144204-10-033291.txt,,
120069,164342,2012,0001144204-13-039226.txt,,
125429,164369,2005,0000950133-06-001204.txt,,
125431,164369,2006,0000950133-07-000926.txt,,
125424,164369,2007,0000950133-08-001075.txt,,
125430,164369,2008,0000950133-09-000734.txt,,
125426,164369,2009,0000950123-10-022481.txt,,
125428,164369,2010,0000950123-11-025973.txt,,
125425,164369,2011,0001193125-12-117708.txt,,
125427,164369,2012,0001193125-13-100710.txt,,
16425,164384,2009,0001446247-10-000008.txt,,
16427,164384,2010,0001437749-11-001993.txt,,
128478,164401,2012,0001091818-13-000032.txt,,
128477,164401,2013,0001091818-14-000012.txt,,
128480,164401,2014,0001091818-15-000005.txt,,
128475,164401,2015,0001091818-16-000214.txt,,
123247,164411,2008,0001144204-09-015060.txt,,
123246,164411,2009,0001144204-10-015142.txt,,
123245,164411,2010,0001144204-11-017577.txt,,
123244,164411,2011,0001144204-12-016319.txt,,
123243,164411,2012,0001144204-13-017728.txt,,
123242,164411,2014,0001144204-15-019803.txt,,
123241,164411,2015,0001144204-16-090445.txt,,
125776,164422,2005,0000950123-06-003883.txt,,
125773,164422,2006,0000950123-07-003937.txt,,
125774,164422,2007,0000950123-08-002279.txt,,
125767,164422,2008,0000950123-09-003327.txt,,
125771,164422,2009,0001144204-10-009732.txt,,
125772,164422,2010,0001144204-11-009652.txt,,
125770,164422,2011,0001144204-12-010408.txt,,
125769,164422,2012,0001144204-13-011278.txt,,
125775,164422,2013,0001144204-14-011060.txt,,
125768,164422,2014,0001144204-15-011777.txt,,
125862,164432,2005,0001193125-06-068656.txt,,
125861,164432,2006,0001193125-07-050182.txt,,
125857,164432,2007,0001193125-08-049421.txt,,
125860,164432,2008,0001193125-09-039939.txt,,
125859,164432,2009,0001193125-10-048404.txt,,
125858,164432,2010,0000950123-11-019836.txt,,
125864,164432,2011,0000950123-12-004723.txt,,
125863,164432,2012,0001193125-13-084812.txt,,
125855,164432,2013,0001193125-14-055449.txt,,
125856,164432,2014,0000950123-15-002934.txt,,
125854,164432,2015,0001193125-16-482459.txt,,
108438,164511,2009,0001144204-10-008982.txt,,
108437,164511,2011,0001144204-12-004201.txt,,
108436,164511,2012,0001144204-13-008315.txt,,
108435,164511,2013,0001144204-14-004716.txt,,
108434,164511,2014,0001493152-15-000050.txt,,
108433,164511,2015,0001493152-16-006703.txt,,
120487,164538,2011,0001276531-12-000003.txt,,
120486,164538,2012,0001276531-13-000004.txt,,
120485,164538,2014,0001276531-15-000002.txt,,
120484,164538,2015,0001276531-16-000013.txt,,
47718,164605,2005,0000936392-06-000301.txt,,
47729,164605,2006,0000936392-07-000254.txt,,
47719,164605,2007,0000936392-08-000226.txt,,
47717,164605,2008,0000936392-09-000146.txt,,
112921,164609,2005,0000950134-06-005637.txt,,
112922,164609,2006,0000950134-07-005979.txt,,
112920,164609,2007,0000891618-08-000165.txt,,
112919,164609,2008,0000950134-09-005338.txt,,
112918,164609,2009,0000950123-10-024793.txt,,
112917,164609,2010,0000950123-11-024832.txt,,
112916,164609,2011,0001047469-12-002637.txt,,
112915,164609,2012,0001047469-13-002864.txt,,
112914,164609,2014,0001558370-15-000335.txt,,
112913,164609,2015,0001558370-16-003944.txt,,
125725,164612,2005,0000950135-06-001289.txt,,
125721,164612,2006,0000950135-07-001677.txt,,
125724,164612,2007,0000950135-08-001657.txt,,
125715,164612,2008,0000950135-09-001772.txt,,
125720,164612,2009,0000950123-10-024064.txt,,
125722,164612,2010,0000950123-11-015749.txt,,
125718,164612,2011,0001193125-12-087622.txt,1819.0, 
125723,164612,2012,0001193125-13-084320.txt,1745.0,0.6482868917552405
125719,164612,2013,0001193125-14-080178.txt,1595.0,0.554331010103952
125717,164612,2014,0001193125-15-064412.txt,1559.0,0.7245829851121295
125716,164612,2015,0001333170-16-000025.txt,700.0,0.021229350132794703
62837,164664,2005,0000950135-06-001822.txt,,
62841,164664,2006,0000950135-07-001552.txt,,
62834,164664,2007,0001193125-08-055021.txt,2301.0, 
62840,164664,2008,0001193125-09-053962.txt,,
62843,164664,2009,0001193125-10-055023.txt,,
62842,164664,2010,0001193125-11-061981.txt,2077.0, 
62838,164664,2011,0001193125-12-101762.txt,2323.0,0.7469120954440724
62836,164664,2012,0001193125-13-098608.txt,1865.0,0.7596205754837999
62835,164664,2014,0001193125-15-091339.txt,1030.0, 
62839,164664,2015,0001193125-16-485689.txt,2127.0,0.06957371033935952
86805,164700,2010,0001204459-11-001058.txt,,
117192,164720,2009,0001269678-10-000122.txt,,
117190,164720,2010,0001193125-11-211814.txt,,
117188,164720,2011,0001193125-12-363776.txt,,
117187,164720,2012,0001193125-13-351909.txt,,
117186,164720,2014,0001193125-15-250418.txt,,
117185,164720,2015,0001193125-16-651305.txt,,
119036,164746,2008,0001062993-09-002633.txt,,
119035,164746,2009,0001062993-10-002448.txt,,
119033,164746,2010,0001062993-11-003023.txt,,
119032,164746,2011,0001204459-12-001646.txt,,
119031,164746,2012,0001062993-13-003578.txt,,
119030,164746,2014,0001062993-15-003908.txt,,
119029,164746,2015,0001062993-16-010548.txt,,
57501,165051,2005,0001193125-06-062948.txt,,
57500,165051,2006,0001193125-07-044848.txt,,
57499,165051,2007,0000867773-08-000017.txt,,
57498,165051,2008,0000867773-09-000011.txt,,
57497,165051,2009,0000867773-10-000008.txt,,
57496,165051,2010,0000867773-11-000008.txt,,
57495,165051,2011,0000867773-12-000008.txt,,
57494,165051,2012,0000867773-13-000012.txt,,
57493,165051,2013,0000867773-14-000011.txt,,
57492,165051,2014,0000867773-15-000013.txt,,
57491,165051,2015,0000867773-16-000101.txt,,
107841,165077,2005,0001047469-06-003952.txt,,
126149,165123,2006,0001193125-07-079805.txt,,
126148,165123,2007,0001193125-08-067632.txt,,
126146,165123,2014,0001336920-15-000010.txt,,
126147,165123,2015,0001336920-16-000076.txt,,
50651,165179,2006,0000950137-06-011067.txt,,
50650,165179,2007,0001362310-07-002442.txt,,
50648,165179,2008,0001362310-08-005838.txt,,
50647,165179,2009,0000950123-09-054275.txt,,
50646,165179,2010,0000950123-10-092756.txt,,
50649,165179,2011,0001140361-11-049045.txt,262.0, 
50644,165179,2012,0001140361-12-043784.txt,268.0,0.8990571859355603
50645,165179,2013,0001140361-13-037424.txt,188.0,0.029281035697853328
50652,165179,2015,0001140361-15-037563.txt,818.0, 
109691,165215,2008,0001144204-09-015614.txt,,
109696,165215,2009,0001144204-10-014169.txt,,
109694,165215,2010,0001144204-11-011688.txt,,
109693,165215,2011,0001144204-12-012003.txt,,
109690,165215,2012,0001193125-13-112464.txt,,
109692,165215,2013,0001193125-14-080282.txt,,
109689,165215,2014,0001193125-15-065956.txt,,
109695,165215,2015,0001193125-16-475875.txt,,
113218,165244,2005,0000891618-06-000165.txt,,
113217,165244,2006,0000891618-07-000173.txt,,
113216,165244,2007,0000950134-08-004758.txt,,
113215,165244,2008,0001140361-09-010692.txt,,
113213,165244,2009,0001193125-10-053542.txt,,
113212,165244,2010,0001193125-11-050238.txt,,
113211,165244,2011,0001193125-12-089437.txt,,
123251,165269,2008,0001144204-08-070640.txt,,
123250,165269,2009,0001144204-10-001513.txt,,
123249,165269,2010,0001144204-10-066966.txt,,
123248,165269,2011,0001144204-11-071614.txt,,
49501,165281,2008,0000830736-09-000008.txt,,
124858,165394,2007,0001047469-08-002974.txt,,
124860,165394,2008,0001144204-09-014321.txt,,
124864,165394,2009,0001144204-10-015402.txt,,
124861,165394,2010,0001144204-11-009629.txt,,
109519,165442,2009,0001145443-10-000895.txt,,
109514,165442,2010,0001477932-11-000544.txt,,
109515,165442,2011,0001477932-12-001219.txt,,
109518,165442,2012,0001477932-13-002123.txt,,
109516,165442,2014,0001477932-15-002466.txt,,
109520,165442,2015,0001477932-16-009778.txt,,
109513,165442,2016,0001477932-17-001774.txt,,
113168,165563,2012,0001144204-13-019184.txt,,
113167,165563,2014,0001144204-15-016335.txt,,
113166,165563,2015,0001144204-16-088178.txt,,
112211,165650,2005,0000936392-06-000299.txt,,
112209,165650,2006,0000936392-07-000246.txt,,
112210,165650,2007,0000936392-08-000227.txt,,
125270,165686,2008,0001144204-09-023188.txt,,
126829,165779,2005,0001130319-06-000214.txt,,
126828,165779,2006,0001130319-07-000236.txt,,
126827,165779,2007,0001130319-08-000171.txt,,
126826,165779,2008,0001130319-09-000093.txt,,
126318,165786,2011,0001213900-11-005510.txt,,
126319,165786,2012,0001213900-12-005528.txt,,
126317,165786,2013,0001213900-13-005711.txt,,
126321,165786,2015,0001615774-15-002913.txt,,
125281,165845,2005,0001193125-06-065234.txt,,
125279,165845,2006,0001193125-07-053598.txt,,
125280,165845,2007,0001193125-08-041978.txt,,
125273,165845,2008,0001193125-09-040938.txt,,
125274,165845,2009,0001193125-10-042473.txt,,
125272,165845,2010,0001193125-11-047413.txt,,
125276,165845,2011,0001193125-12-089219.txt,,
125282,165845,2012,0001193125-13-084704.txt,,
125275,165845,2013,0001445305-14-000677.txt,,
125278,165845,2014,0001328571-15-000013.txt,,
125277,165845,2015,0001328571-16-000087.txt,,
126499,165857,2005,0000950135-06-001935.txt,,
126500,165857,2006,0000950135-07-001528.txt,,
126497,165857,2007,0000950135-08-001703.txt,,
126498,165857,2008,0000950135-09-001647.txt,,
49927,165911,2010,0001144204-10-049731.txt,,
49923,165911,2011,0001144204-11-053117.txt,,
49922,165911,2012,0001144204-12-051469.txt,,
49921,165911,2013,0001144204-13-052251.txt,,
49920,165911,2014,0001144204-14-057415.txt,,
49919,165911,2015,0001144204-15-056353.txt,,
49917,165911,2016,0001437749-16-039131.txt,,
116822,165968,2010,0001065949-11-000056.txt,,
116821,165968,2011,0001185185-12-000524.txt,,
116820,165968,2012,0001185185-13-000654.txt,,
116819,165968,2014,0001185185-15-000737.txt,,
116818,165968,2015,0001185185-16-003879.txt,,
126111,165991,2006,0001072613-06-002035.txt,,
113455,165993,2003,0001193125-04-024670.txt,,
113454,165993,2004,0001193125-05-048033.txt,,
113453,165993,2005,0000950134-06-005253.txt,,
113452,165993,2006,0000892569-07-000185.txt,,
113451,165993,2007,0000892569-08-000207.txt,,
113450,165993,2008,0000950144-09-001697.txt,,
113449,165993,2009,0000950123-10-017631.txt,,
113448,165993,2011,0001136893-12-000017.txt,,
113447,165993,2012,0001136893-13-000011.txt,,
113446,165993,2013,0001136893-14-000009.txt,,
113445,165993,2014,0001136893-15-000006.txt,,
113444,165993,2015,0001136893-16-000061.txt,,
119408,166028,2006,0001144204-07-013941.txt,,
119407,166028,2007,0001204459-08-000475.txt,,
119406,166028,2008,0001204459-09-000359.txt,,
119405,166028,2009,0001204459-10-000381.txt,,
119404,166028,2010,0001204459-11-000517.txt,,
126504,166200,2006,0000950135-07-002021.txt,,
126502,166200,2007,0000950135-08-002206.txt,,
126503,166200,2008,0000950135-09-001741.txt,,
126501,166200,2009,0001193125-10-058373.txt,,
126921,166208,2005,0001193125-06-081408.txt,,
126920,166208,2006,0001193125-07-064308.txt,,
126919,166208,2007,0001193125-08-051769.txt,,
126918,166208,2008,0001193125-09-045023.txt,,
126917,166208,2009,0001193125-10-046735.txt,,
126916,166208,2010,0001193125-11-057893.txt,,
116033,166365,2006,0000950133-07-001074.txt,,
126794,166414,2006,0000950134-07-007873.txt,,
126791,166414,2007,0000891618-08-000166.txt,,
126790,166414,2008,0000950134-09-004958.txt,,
126789,166414,2009,0000950123-10-022394.txt,,
126788,166414,2010,0000950123-11-025571.txt,,
126792,166414,2011,0001193125-12-109810.txt,,
126787,166414,2012,0001193125-13-126906.txt,,
126786,166414,2014,0001193125-15-091455.txt,,
126785,166414,2015,0001564590-16-015401.txt,,
142671,166433,2011,0001515003-11-000017.txt,,
142670,166433,2012,0001515003-12-000046.txt,,
142669,166433,2013,0001515003-13-000032.txt,,
142668,166433,2015,0001515003-15-000045.txt,,
142667,166433,2016,0001515003-16-000092.txt,,
127043,166434,2006,0001193125-07-072146.txt,,
127042,166434,2007,0001362310-08-001657.txt,,
127041,166434,2008,0001362310-09-001861.txt,,
127039,166434,2010,0001398432-11-000314.txt,,
127037,166434,2011,0001398432-12-000375.txt,,
127040,166434,2012,0001437749-13-004477.txt,,
127036,166434,2014,0001144204-15-019431.txt,,
127035,166434,2015,0001493152-16-008808.txt,,
127059,166435,2006,0000950133-07-001153.txt,,
127060,166435,2007,0000950133-08-001050.txt,,
127058,166435,2008,0000950133-09-001278.txt,,
127056,166435,2009,0000950123-10-024770.txt,,
127055,166435,2010,0000950123-11-024187.txt,,
127054,166435,2011,0001193125-12-105284.txt,,
127053,166435,2012,0001193125-13-075214.txt,,
127052,166435,2013,0001193125-14-066051.txt,,
127051,166435,2014,0001193125-15-091300.txt,,
127050,166435,2015,0001193125-16-461076.txt,,
123777,166447,2013,0001062993-13-006497.txt,,
123776,166447,2015,0001615774-15-003756.txt,,
123775,166447,2016,0001615774-16-008914.txt,,
116632,166449,2006,0001104659-07-019976.txt,,
116631,166449,2007,0001047469-08-002592.txt,,
116630,166449,2008,0001047469-09-002481.txt,,
116629,166449,2009,0001047469-10-002637.txt,,
127177,166450,2006,0000950123-07-003655.txt,,
127176,166450,2007,0000950123-08-003041.txt,,
127240,166460,2007,0001047469-08-002820.txt,,
127239,166460,2008,0001047469-09-002574.txt,,
127237,166460,2009,0001193125-10-058347.txt,,
127236,166460,2010,0001193125-11-049878.txt,,
127235,166460,2011,0001350102-12-000032.txt,,
127234,166460,2012,0001350102-13-000006.txt,,
127238,166460,2014,0001350102-15-000015.txt,,
127233,166460,2015,0001350102-16-000140.txt,,
127232,166460,2016,0001350102-17-000041.txt,,
125005,166491,2014,0001185185-15-001808.txt,,
127302,166555,2006,0001193125-07-072229.txt,2062.0, 
127301,166555,2007,0001193125-08-058843.txt,2287.0,0.5948924031144052
127300,166555,2008,0001193125-09-044992.txt,,
127299,166555,2009,0001193125-10-046062.txt,,
127298,166555,2010,0001193125-11-055368.txt,1493.0, 
127296,166555,2011,0001193125-12-094811.txt,1886.0,0.21662221728747674
127295,166555,2012,0001193125-13-089967.txt,1579.0,0.26978327165294474
127297,166555,2014,0001350653-15-000006.txt,,
127294,166555,2015,0001350653-16-000058.txt,,
120193,166562,2006,0001193125-07-082917.txt,,
120192,166562,2007,0001193125-08-059036.txt,,
120191,166562,2009,0001193125-10-043170.txt,,
120190,166562,2010,0001193125-11-038059.txt,,
120189,166562,2011,0001272830-12-000022.txt,,
120188,166562,2012,0001272830-13-000018.txt,,
120187,166562,2013,0001272830-14-000020.txt,,
120186,166562,2014,0001272830-15-000025.txt,,
120185,166562,2015,0001272830-16-000113.txt,,
